idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse
374	593,36	922,87	972,55	-1	0	0	0	48,68	97,36	0
375	837,8	687,24	795,72	-4	0	0	0	0	0	104,48
376	837,8	867,31	999,81	-2	0	0	0	0	0	130,5
377	837,8	996,58	18,58	979,28	0	0	0	1,28	2,56	0
378	837,8	2182,8	2348,5	-6	0	0	0	91,73	183,47	67,97
379	837,8	891,29	939,36	-1	0	0	0	47,07	94,14	0
380	837,8	1014,94	1153,17	-1	0	0	0	8,01	16,02	129,22
381	837,8	2658,49	3013,17	-5	0	0	0	26,76	53,52	322,92
382	837,8	786,22	836,86	-2	0	0	0	37,76	75,52	10,87
383	362,31	1086,75	156,67	938,36	0	0	0	8,28	16,57	0
384	362,31	855,8	988,02	-3	0	0	0	0	0	129,22
385	362,31	1118,24	1181,67	-4	0	0	0	59,43	118,87	0
386	362,31	930,02	983,55	-4	0	0	0	49,53	99,06	0
387	362,31	952,28	-4	956,28	0	0	0	0	0	0
388	362,31	813,58	858,67	-2	0	0	0	43,08	86,17	0
389	362,31	942,58	-2	944,58	0	0	0	0	0	0
390	486,63	3477,35	3702,09	-1	0	38,59	38,59	185,15	370,31	0
391	486,63	2944,16	2215,07	936,78	0	0	0	50,41	100,82	157,28
392	486,63	1821	2096	-2	0	0	0	0	0	273
393	486,63	5968,83	6847,67	-3	0	383,25	383,25	167,58	335,17	325
394	486,63	917,65	-10	927,65	0	0	0	0	0	0
395	486,63	1041,83	1104,67	-7	0	0	0	55,83	111,67	0
396	486,63	3442	3795	-3	0	0	0	90	180	260
397	621,81	1445,2	1523,53	-2	0	0	0	76,33	152,65	0
398	621,81	911,75	421,74	511,55	516,55	0	0	21,54	43,07	0
399	621,81	1846,56	2056	-3	0	0	0	38,35	76,7	168,09
400	621,81	2275,54	1392	953,39	0	0	0	69,85	139,7	0
401	621,81	1443,47	590,33	930,4	0	0	0	0	0	77,26
402	621,81	161,69	173,62	-3	0	0	0	8,93	17,86	0
